lat,lon,認可施設.事業所等名,利用定員,所在地,電話番号,公私,設置主体,施設の類型,開設時間.平日.,受入可能年齢,特別保育の実施状況
35.232169,136.908631,こてとろ保育室,19,愛知県名古屋市北区大我麻町162,982-7871,私立,特定非営利活動法人,小規模保育事業B型,午前7時30分から午後6時30分,産休あけから2歳,
35.196928,136.900552,ALL 4 KIDS チャイルドケア　金城園,19,愛知県名古屋市北区金城二丁目4,325-5341,私立,株式会社,小規模保育事業A型,午前7時30分から午後6時30分,産休あけから2歳,
35.224354,136.916219,保育室はりねずみ,3,愛知県名古屋市北区西味鋺三丁目506,901-5011,私立,個人,家庭的保育事業,午前8時30分から午後4時30分,産休あけから2歳,
NA,NA,保育室らべんだー,3,愛知県名古屋市北区紅雲町29,914-7310,私立,個人,家庭的保育事業,午前8時30分から午後4時30分,産休あけから2歳,
35.190966,136.908893,わけっこ,5,愛知県名古屋市北区柳原三丁目3,916-1931,私立,個人,家庭的保育事業,午前7時30分から午後6時30分,産休あけから2歳,
35.235168,136.921042,こじか保育室,5,愛知県名古屋市北区如意四丁目6,901-1695,私立,個人,家庭的保育事業,午前7時30分から午後6時30分,産休あけから2歳,
35.220912,136.914708,事業所内保育　オアシス,8,愛知県名古屋市北区西味鋺一丁目901,901-5559,私立,社会福祉法人,事業所内保育事業（B型）,午前7時30分から午後6時30分,産休あけから2歳,
35.184648,136.876411,藤の宮保育園,90,愛知県名古屋市西区栄生一丁目24,551-6880,公立,名古屋市,保育所,午前7時30分から午後7時30分,6ヶ月から5歳,延長保育,子育て支援センター
35.194131,136.895477,上名古屋保育園,100,愛知県名古屋市西区上名古屋二丁目26,531-6544,公立,名古屋市,保育所,午前7時30分から午後7時30分,産休あけから5歳,延長保育
35.229356,136.858869,野南保育園,90,愛知県名古屋市西区野南町68,503-4343,公立,名古屋市,保育所,午前7時30分から午後7時30分,6ヶ月から5歳,延長保育
35.229138,136.893953,比良西保育園,100,愛知県名古屋市西区清里町126,502-7076,公立,名古屋市,保育所,午前7時30分から午後7時30分,6ヶ月から5歳,延長保育
35.218055,136.895957,幼保連携型認定こども園寺子屋大の木,125,愛知県名古屋市西区大野木二丁目135,501-1435,私立,社会福祉法人,幼保連携型認定こども園,午前7時15分から午後7時15分,産休あけから5歳,延長保育,子育て支援センター,入所予約
NA,NA,オアシスこども園,63,愛知県名古屋市西区大野木四丁目43,501-8117,私立,社会福祉法人,幼保連携型認定こども園,午前7時30分から午後7時30分,産休あけから5歳,延長保育
35.227598,136.869568,平田保育園,150,愛知県名古屋市西区平出町87,501-8820,私立,社会福祉法人,保育所,午前7時00分から午後7時00分,産休あけから5歳,延長保育,一時保育,子育て支援センター,入所予約
35.186204,136.878615,名古屋厚生会館第一保育園,261,愛知県名古屋市西区栄生一丁目2,565-0175,私立,社会福祉法人,保育所,午前7時30分から午後7時30分,産休あけから5歳,延長保育,入所予約
35.187435,136.880323,名古屋厚生会館第二保育園,207,愛知県名古屋市西区名西一丁目10,523-0880,私立,社会福祉法人,保育所,午前7時30分から午後7時30分,産休あけから5歳,延長保育,入所予約
35.219387,136.881897,上小田井保育園,210,愛知県名古屋市西区南川町110,502-1001,私立,社会福祉法人,保育所,午前7時00分から午後7時00分,産休あけから5歳,延長保育,子育て支援センター,入所予約
35.189051,136.885595,新生保育園,100,愛知県名古屋市西区天神山町3,522-7608,私立,社会福祉法人,保育所,午前7時30分から午後7時30分,産休あけから5歳,延長保育,一時保育,入所予約
35.196381,136.899201,あかつき保育園,169,愛知県名古屋市西区上名古屋四丁目13,531-0928,私立,社会福祉法人,保育所,午前7時00分から午後7時30分,産休あけから5歳,延長保育,一時保育,子育て支援センター,入所予約,休日保育
35.196624,136.886789,まこと保育園,90,愛知県名古屋市西区児玉二丁目24,531-3980,私立,個人,保育所,午前7時30分から午後6時30分,6ヶ月から5歳,
NA,NA,あけぼの保育園,110,愛知県名古屋市西区天塚町1,531-3858,私立,社会福祉法人,保育所,午前7時15分から午後7時15分,産休あけから5歳,延長保育,入所予約
35.223558,136.87431,まんぼう保育園,59,愛知県名古屋市西区貴生町164,501-9666,私立,社会福祉法人,保育所,午前7時00分から午後7時00分,産休あけから5歳,延長保育
