predicted,test
6.905614501139658,6.04
8.29527687996444,7.55
7.208231056771265,6.85
9.337209454527578,9.48
9.337209454527578,8.76
12.345352852958522,13.1
11.653054129306549,9.34
8.138110183399386,8.2
9.103169365965087,11.01
9.103169365965087,5.82
8.160323929443393,6.45
8.416727253415193,9.88
7.424964957695901,7.22
6.300166097971156,5.65
7.208231056771265,7.53
9.41406172769634,9.31
6.346147225628756,5.4
7.208231056771265,9.41
11.72609646076996,11.38
7.250038802580757,7.83
12.622042138672807,14.15
11.678812197947261,7.79
8.45195693487379,10.94
8.333663826351387,7.32
10.286343237997185,8.89
8.138110183399386,8.2
11.678812197947261,11.03
9.337209454527578,10.6
5.253976887680146,5.16
5.796029019852841,5.03
6.893048259636003,7.3
7.208231056771265,6.72
8.138110183399386,8.97
10.860533888751487,8.36
9.41406172769634,8.81
7.208231056771265,10.75
7.678423453950872,6.77
9.953828301353154,11.21
8.93548227189201,9.14
11.678812197947261,10.47
8.93548227189201,7.72
12.450211866547475,13.69
5.9956967209669125,5.74
9.868054578133787,9.82
8.288434002785207,7.1
8.364953292230934,9.08
7.208231056771265,7.92
7.208231056771265,6.55
8.364953292230934,8.18
10.82877065027144,11.46
8.288434002785207,6.93
8.783058938102515,9.73
8.364953292230934,9.0
9.868054578133787,7.53
7.208231056771265,6.85
6.346147225628756,5.75
13.419946579493613,14.81
4.819253150032466,4.44
6.905614501139658,7.92
8.93548227189201,10.01
8.416727253415193,7.64
7.3778530501562285,7.1
7.068666017205109,7.71
23.41514388435932,30.0
6.346147225628756,6.78
12.345352852958522,10.05
9.103169365965087,8.6
5.796029019852841,6.49
12.450211866547475,8.97
9.103169365965087,11.01
8.416727253415193,8.65
10.286343237997185,9.58
7.678423453950872,8.35
8.364953292230934,8.63
14.69331560840534,30.29
13.834788435133726,10.05
17.032659131369986,9.7
8.853248894255547,10.68
8.364953292230934,8.61
8.364953292230934,9.04
8.783058938102515,7.11
12.36162445293384,10.79
11.238033070542896,9.81
8.29527687996444,8.63
10.286343237997185,10.51
7.678423453950872,5.4
9.337209454527578,9.28
16.048622496817572,25.02
8.364953292230934,9.27
10.070845294919542,10.61
10.286343237997185,9.89
11.678812197947261,11.72
9.103169365965087,11.33
7.678423453950872,7.57
10.177945680347056,10.77
9.103169365965087,10.44
10.286343237997185,10.17
10.800027745302152,9.08
12.450211866547475,9.67
7.678423453950872,5.09
9.103169365965087,10.7
7.208231056771265,5.25
5.099729763027674,5.19
7.208231056771265,6.57
8.364953292230934,7.02
9.337209454527578,10.36
12.128461390518316,13.49
10.286343237997185,10.7
9.41406172769634,10.84
9.534586912418986,10.16
10.650769413037564,10.62
16.628519200114276,9.79
10.177945680347056,9.6
7.208231056771265,7.37
12.4154450856723,10.03
7.424964957695901,7.43
7.250038802580757,6.3
12.5213994622775,14.21
9.103169365965087,10.37
8.364953292230934,7.33
8.364953292230934,9.38
8.138110183399386,7.66
10.286343237997185,11.0
8.45195693487379,9.39
7.678423453950872,7.25
8.897768945431407,8.61
9.868054578133787,10.29
10.286343237997185,14.64
9.534586912418986,8.94
6.745711408363629,7.75
9.337209454527578,11.21
7.678423453950872,6.92
9.534586912418986,7.94
12.128461390518316,9.92
8.364953292230934,8.75
9.523850097692414,9.69
7.068666017205109,8.51
8.288434002785207,9.07
13.888827574661992,11.92
8.897768945431407,9.36
14.54882580722882,9.23
9.103169365965087,8.35
8.333663826351387,8.8
